category,new_file,original_file,width,height,source_kb,webp_kb
01_genealogy_references,selected/01_genealogy_references/01_atlas-genealogique-biblique-interactif.webp,atlas_généalogique_biblique_interactif.png,1500,844,1992.1,78.6
01_genealogy_references,selected/01_genealogy_references/02_bible-genealogy-atlas-levites-and-priests.webp,bible_genealogy_atlas_levites_and_priests.png,1500,844,2007.2,83.8
02_maps_desktop_core,selected/02_maps_desktop_core/01_bible-study-atlas-interface-design.webp,bible_study_atlas_interface_design.png,1500,844,2466.5,114.6
02_maps_desktop_core,selected/02_maps_desktop_core/02_carte-antique-de-la-terre-sainte.webp,carte_antique_de_la_terre_sainte.png,1500,844,2151.3,65.8
02_maps_desktop_core,selected/02_maps_desktop_core/03_carte-biblique-avec-informations-detaillees.webp,carte_biblique_avec_informations_détaillées.png,1500,844,2242.5,106.9
02_maps_desktop_core,selected/02_maps_desktop_core/04_carte-des-itineraires-bibliques-disputes.webp,carte_des_itinéraires_bibliques_disputés.png,1500,844,2336.2,130.3
02_maps_desktop_core,selected/02_maps_desktop_core/05_carte-des-tribus-d-israel.webp,carte_des_tribus_d_israël.png,1500,844,2598.1,157.8
03_maps_mobile_tablet,selected/03_maps_mobile_tablet/01_carte-des-voyages-d-abraham.webp,carte_des_voyages_d_abraham.png,844,1500,2094.5,81.7
02_maps_desktop_core,selected/02_maps_desktop_core/06_carte-des-voyages-missionnaires-de-paul.webp,carte_des_voyages_missionnaires_de_paul.png,1500,844,2697.7,146.9
02_maps_desktop_core,selected/02_maps_desktop_core/07_carte-historique-d-israel-et-juda.webp,carte_historique_d_israël_et_juda.png,1500,844,2325.8,111.2
02_maps_desktop_core,selected/02_maps_desktop_core/08_carte-historique-interactive-en-mode-recherche.webp,carte_historique_interactive_en_mode_recherche.png,1500,844,2261.0,117.6
02_maps_desktop_core,selected/02_maps_desktop_core/09_carte-interactive-de-jerusalem-antique.webp,carte_interactive_de_jérusalem_antique.png,1500,844,2218.5,124.9
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/01_chargement-de-l-atlas-biblique-numerique.webp,chargement_de_l_atlas_biblique_numérique.png,1500,844,2045.2,60.0
02_maps_desktop_core,selected/02_maps_desktop_core/10_comparaison-des-cartes-bibliques.webp,comparaison_des_cartes_bibliques.png,1500,844,2182.2,89.9
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/02_design-systeme-pour-carte-biblique.webp,design_système_pour_carte_biblique.png,1500,844,1864.0,97.0
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/03_export-de-carte-des-voyages-bibliques.webp,export_de_carte_des_voyages_bibliques.png,1500,844,2033.0,88.3
02_maps_desktop_core,selected/02_maps_desktop_core/11_interactive-map-of-ancient-israel-and-judah.webp,interactive_map_of_ancient_israel_and_judah.png,1500,844,2488.9,115.7
01_genealogy_references,selected/01_genealogy_references/03_tableau-genealogique-biblique-interactif.webp,tableau_généalogique_biblique_interactif.png,1500,844,1685.6,57.8
03_maps_mobile_tablet,selected/03_maps_mobile_tablet/02_bibleyskiy-atlas-na-planshete.webp,библейский_атлас_на_планшете.png,1448,1086,2396.2,134.3
01_genealogy_references,selected/01_genealogy_references/04_bibleyskiy-atlas-rodosloviy.webp,библейский_атлас_родословий.png,1500,844,1938.5,70.3
01_genealogy_references,selected/01_genealogy_references/05_bibleyskiy-atlas-rodosloviy-i-traditsiy.webp,библейский_атлас_родословий_и_традиций.png,1500,844,1996.4,65.5
01_genealogy_references,selected/01_genealogy_references/06_genealogiya-12-kolen-izrailevyh.webp,генеалогия_12_колен_израилевых.png,1500,844,1639.7,74.2
01_genealogy_references,selected/01_genealogy_references/07_genealogiya-iisusa-sravnenie-liniy.webp,генеалогия_иисуса_сравнение_линий.png,1500,844,1949.8,67.1
01_genealogy_references,selected/01_genealogy_references/08_genealogiya-ot-adama-do-iisusa-hrista.webp,генеалогия_от_адама_до_иисуса_христа.png,1500,844,2263.6,94.7
01_genealogy_references,selected/01_genealogy_references/09_genealogiya-semi-avraama.webp,генеалогия_семьи_авраама.png,1500,844,2206.0,98.2
01_genealogy_references,selected/01_genealogy_references/10_drevo-semi-adama-i-potomkov.webp,древо_семьи_адама_и_потомков.png,1500,844,1839.2,41.0
02_maps_desktop_core,selected/02_maps_desktop_core/12_interaktivnaya-karta-iudei-i-sluzheniya-iisusa.webp,интерактивная_карта_иудеи_и_служения_иисуса.png,1500,844,2418.8,122.3
02_maps_desktop_core,selected/02_maps_desktop_core/13_interaktivnaya-karta-puti-ishoda.webp,интерактивная_карта_пути_исхода.png,1500,844,2380.0,127.0
02_maps_desktop_core,selected/02_maps_desktop_core/14_interaktivnyy-bibleyskiy-atlas-karty.webp,интерактивный_библейский_атлас_карты.png,1500,844,2340.6,100.9
05_site_map_references,selected/05_site_map_references/01_interfeys-karty-sayta-bogoslovskogo-proekta.webp,интерфейс_карты_сайта_богословского_проекта.png,1500,844,1954.2,72.2
05_site_map_references,selected/05_site_map_references/02_interfeys-karty-sayta-na-temu-avraama.webp,интерфейс_карты_сайта_на_тему_авраама.png,1500,844,2074.2,71.2
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/04_karta-vremenno-skryta-dlya-proverki.webp,карта_временно_скрыта_для_проверки.png,1500,844,1895.1,40.0
02_maps_desktop_core,selected/02_maps_desktop_core/15_karta-puteshestviy-avraama.webp,карта_путешествий_авраама.png,1500,844,2400.2,115.6
05_site_map_references,selected/05_site_map_references/03_karta-sayta-s-vizualizatsiey-uzlov.webp,карта_сайта_с_визуализацией_узлов.png,1500,844,1503.3,64.4
03_maps_mobile_tablet,selected/03_maps_mobile_tablet/03_marshruty-ishoda-na-karte.webp,маршруты_исхода_на_карте.png,844,1500,2024.9,95.7
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/05_oshibka-zagruzki-karty-marshruta.webp,ошибка_загрузки_карты_маршрута.png,1500,844,1913.7,53.3
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/06_panel-audita-bibleyskih-kart.webp,панель_аудита_библейских_карт.png,1500,844,1483.5,49.9
04_maps_states_admin_editor,selected/04_maps_states_admin_editor/07_panel-redaktora-bibleyskogo-marshruta.webp,панель_редактора_библейского_маршрута.png,1500,844,2126.3,80.9
